time_stamp,pm2.5_atm
2025-10-19T00:00:00-07:00,18.3
2025-10-19T01:00:00-07:00,18.4
2025-10-19T02:00:00-07:00,24.2
2025-10-19T03:00:00-07:00,26.5
2025-10-19T04:00:00-07:00,33.2
2025-10-19T05:00:00-07:00,28.2
2025-10-19T06:00:00-07:00,27.1
2025-10-19T07:00:00-07:00,29
2025-10-19T08:00:00-07:00,37.9
2025-10-19T09:00:00-07:00,27.9
2025-10-19T10:00:00-07:00,19.6
2025-10-19T11:00:00-07:00,14.9
2025-10-19T12:00:00-07:00,12.3
2025-10-19T13:00:00-07:00,7.9
2025-10-19T14:00:00-07:00,5.6
2025-10-19T15:00:00-07:00,4.1
2025-10-19T16:00:00-07:00,5.3
2025-10-19T17:00:00-07:00,4.3
2025-10-19T18:00:00-07:00,4.2
2025-10-19T19:00:00-07:00,6.5
2025-10-19T20:00:00-07:00,6
2025-10-19T21:00:00-07:00,4.1
2025-10-19T22:00:00-07:00,4.7
2025-10-19T23:00:00-07:00,5.7
2025-10-20T00:00:00-07:00,5.7
2025-10-20T01:00:00-07:00,6.5
2025-10-20T02:00:00-07:00,8.3
2025-10-20T03:00:00-07:00,9.4
2025-10-20T04:00:00-07:00,5.9
2025-10-20T05:00:00-07:00,2.1
2025-10-20T06:00:00-07:00,1.5
2025-10-20T07:00:00-07:00,1.4
2025-10-20T08:00:00-07:00,1.2
2025-10-20T09:00:00-07:00,1.1
2025-10-20T10:00:00-07:00,1
2025-10-20T11:00:00-07:00,1.1
2025-10-20T12:00:00-07:00,1
2025-10-20T13:00:00-07:00,0.9
2025-10-20T14:00:00-07:00,1
2025-10-20T15:00:00-07:00,1.1
2025-10-20T16:00:00-07:00,1.1
2025-10-20T17:00:00-07:00,1.5
2025-10-20T18:00:00-07:00,2.1
2025-10-20T19:00:00-07:00,2.9
2025-10-20T20:00:00-07:00,4.5
2025-10-20T21:00:00-07:00,3.7
2025-10-20T22:00:00-07:00,5.3
2025-10-20T23:00:00-07:00,5.1
2025-10-21T00:00:00-07:00,2.5
2025-10-21T01:00:00-07:00,2.6
2025-10-21T02:00:00-07:00,2.9
2025-10-21T03:00:00-07:00,3.7
2025-10-21T04:00:00-07:00,4
2025-10-21T05:00:00-07:00,3.8
2025-10-21T06:00:00-07:00,4.3
2025-10-21T07:00:00-07:00,8.9
2025-10-21T08:00:00-07:00,6.9
2025-10-21T09:00:00-07:00,10.6
2025-10-21T10:00:00-07:00,9.2
2025-10-21T11:00:00-07:00,13.3
2025-10-21T12:00:00-07:00,7.9
2025-10-21T13:00:00-07:00,4.5
2025-10-21T14:00:00-07:00,3.9
2025-10-21T15:00:00-07:00,4
2025-10-21T16:00:00-07:00,5.5
2025-10-21T17:00:00-07:00,3.6
2025-10-21T18:00:00-07:00,4.1
2025-10-21T19:00:00-07:00,7.9
2025-10-21T20:00:00-07:00,11
2025-10-21T21:00:00-07:00,11.4
2025-10-21T22:00:00-07:00,12.1
2025-10-21T23:00:00-07:00,9.1
2025-10-22T00:00:00-07:00,6
2025-10-22T01:00:00-07:00,4.2
2025-10-22T02:00:00-07:00,4.5
2025-10-22T03:00:00-07:00,5
2025-10-22T04:00:00-07:00,3.6
2025-10-22T05:00:00-07:00,3.2
2025-10-22T06:00:00-07:00,3.4
2025-10-22T07:00:00-07:00,3.3
2025-10-22T08:00:00-07:00,3
2025-10-22T09:00:00-07:00,3
2025-10-22T10:00:00-07:00,3.1
2025-10-22T11:00:00-07:00,3.4
2025-10-22T12:00:00-07:00,3.4
2025-10-22T13:00:00-07:00,4
2025-10-22T14:00:00-07:00,4.4
2025-10-22T15:00:00-07:00,4.7
2025-10-22T16:00:00-07:00,4.8
2025-10-22T17:00:00-07:00,4.6
2025-10-22T18:00:00-07:00,4.7
2025-10-22T19:00:00-07:00,5.2
2025-10-22T20:00:00-07:00,5
2025-10-22T21:00:00-07:00,5.1
2025-10-22T22:00:00-07:00,5.5
2025-10-22T23:00:00-07:00,5.9
2025-10-23T00:00:00-07:00,6.1
2025-10-23T01:00:00-07:00,6.3
2025-10-23T02:00:00-07:00,6.4
2025-10-23T03:00:00-07:00,7.1
2025-10-23T04:00:00-07:00,7.5
2025-10-23T05:00:00-07:00,8.4
2025-10-23T06:00:00-07:00,8.8
2025-10-23T07:00:00-07:00,9.6
2025-10-23T08:00:00-07:00,10.8
2025-10-23T09:00:00-07:00,11.1
2025-10-23T10:00:00-07:00,10.5
2025-10-23T11:00:00-07:00,11.5
2025-10-23T12:00:00-07:00,13.5
2025-10-23T13:00:00-07:00,13.9
2025-10-23T14:00:00-07:00,12.8
2025-10-23T15:00:00-07:00,11.8
2025-10-23T16:00:00-07:00,14.3
2025-10-23T17:00:00-07:00,12.4
2025-10-23T18:00:00-07:00,9.8
2025-10-23T19:00:00-07:00,11.3
2025-10-23T20:00:00-07:00,12.4
2025-10-23T21:00:00-07:00,13.1
2025-10-23T22:00:00-07:00,11.6
2025-10-23T23:00:00-07:00,11.7
2025-10-24T00:00:00-07:00,12.9
2025-10-24T01:00:00-07:00,13.3
2025-10-24T02:00:00-07:00,13.3
2025-10-24T03:00:00-07:00,14.3
2025-10-24T04:00:00-07:00,14.7
2025-10-24T05:00:00-07:00,15
2025-10-24T06:00:00-07:00,16.3
2025-10-24T07:00:00-07:00,17.1
2025-10-24T08:00:00-07:00,13.5
2025-10-24T09:00:00-07:00,7.4
2025-10-24T10:00:00-07:00,3.8
2025-10-24T11:00:00-07:00,3.8
2025-10-24T12:00:00-07:00,9.2
2025-10-24T13:00:00-07:00,6.9
2025-10-24T14:00:00-07:00,2.4
2025-10-24T15:00:00-07:00,1.8
2025-10-24T16:00:00-07:00,2.5
2025-10-24T17:00:00-07:00,1.9
2025-10-24T18:00:00-07:00,1.1
2025-10-24T19:00:00-07:00,1.6
2025-10-24T20:00:00-07:00,1.2
2025-10-24T21:00:00-07:00,1.4
2025-10-24T22:00:00-07:00,2.1
2025-10-24T23:00:00-07:00,7.2
2025-10-25T00:00:00-07:00,4.8
2025-10-25T01:00:00-07:00,3.5
2025-10-25T02:00:00-07:00,2.6
2025-10-25T03:00:00-07:00,1.2
2025-10-25T04:00:00-07:00,1.4
2025-10-25T05:00:00-07:00,2
2025-10-25T06:00:00-07:00,2.5
2025-10-25T07:00:00-07:00,2.5
2025-10-25T08:00:00-07:00,2.4
2025-10-25T09:00:00-07:00,3.1
2025-10-25T10:00:00-07:00,2.5
2025-10-25T11:00:00-07:00,0.8
2025-10-25T12:00:00-07:00,0.4
2025-10-25T13:00:00-07:00,1
2025-10-25T14:00:00-07:00,0.8
2025-10-25T15:00:00-07:00,1
2025-10-25T16:00:00-07:00,1.1
2025-10-25T17:00:00-07:00,1.3
2025-10-25T18:00:00-07:00,1.7
2025-10-25T19:00:00-07:00,1.5
2025-10-25T20:00:00-07:00,2.4
2025-10-25T21:00:00-07:00,2.3
2025-10-25T22:00:00-07:00,2.7
2025-10-25T23:00:00-07:00,2.6
